INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
NCA&T,51,9-Jan-19,Associate Professor,77000,Speech Communication,Associate Professor
NCA&T,44,12-Aug-16,Assistant Professor,66305,Biology,Assistant Professor 9/10
NCA&T,45,27-Aug-14,Assistant Professor,63000,Biology,Biology Non Tenure Track Teaching Assistant Professor
NCA&T,53,14-Aug-00,Professor,157000,Business Information Systems & Anal,Professor
NCA&T,49,12-Aug-09,Assistant Professor,74138,Computer Systems Technology,Assistant Professor
NCA&T,60,8-Aug-11,Associate Professor,77108,English,Associate Professor
NCA&T,55,1-Aug-99,Associate Professor,147132,Industrial & Systems Engineering,Associate Professor
NCA&T,66,14-Aug-92,Associate Professor,68545,History and Political Science,Associate Professor
NCA&T,42,13-Aug-08,Professor,70997,Psychology,Professor
NCA&T,62,9-Aug-04,Professor,122751,Management,Professor
NCA&T,65,16-Aug-06,Professor,122295,Marketing and Supply Chain Managmt,Professor
NCA&T,71,16-Aug-96,Professor,108822,Mechanical Engineering,Professor
NCA&T,73,16-Aug-89,Associate Professor,97067,Management,Associate Professor
NCA&T,40,16-Aug-13,Associate Professor,79887,Family and Consumer Sciences,Research Assoc Professor
NCA&T,61,14-Aug-92,Professor (Primary) and Department Chair/Head,129763,Mathematics,Professor/Chair
NCA&T,47,9-Aug-04,Associate Professor,65410,Mathematics,Associate Professor
NCA&T,36,10-Aug-18,Assistant Professor,71500,Sociology & Social Work,Associate Professor
NCA&T,51,8-Jan-10,Assistant Professor,83000,Civil Architect & Environ Engineer,Associate Professor
NCA&T,61,3-Jan-18,Associate Professor,126780,Accounting and Finance,Assocaite Professor
NCA&T,38,27-Aug-14,Associate Professor,67000,Biology,Associate Professor
NCA&T,72,1-Mar-98,Professor,109194,Agribusiness Econ Agriscience,Research Professor
NCA&T,42,10-Aug-18,Associate Professor,66000,Speech Communication,Associate Professor
NCA&T,65,15-Aug-14,Associate Professor,66447,Visual and Performing Arts,Associate Professor
NCA&T,58,1-Jul-07,Associate Professor,75599,Computer Systems Technology,Associate Professor
NCA&T,40,6-Jan-16,Assistant Professor,71345,Physics,Assistant Professor
NCA&T,33,12-Aug-16,Assistant Professor,110307,Management,Assistant Professor
NCA&T,66,1-Jan-89,Professor,127124,Management,Professor
NCA&T,68,13-Aug-01,Professor,51901,Chemical Biological & Bioengineerin,Professor
NCA&T,65,1-Aug-07,Professor,122521,Department of Built Environment,Professor
NCA&T,61,3-Jan-08,Associate Professor,65280,English,Associate Professor
NCA&T,65,2-Jan-85,Professor,129861,Natural Resources & Environ Design,Professor/Director
NCA&T,43,16-Aug-19,Assistant Professor,65000,Sociology & Social Work,Professor
NCA&T,65,12-Aug-94,Associate Professor,66500,Mathematics,Associate Professor
NCA&T,55,9-Aug-04,Associate Professor,66598,Chemistry,Associate Professor
NCA&T,39,10-Aug-18,Assistant Professor,62500,Sociology & Social Work,Assistant Professor
NCA&T,45,12-Aug-16,Assistant Professor,63036,Sociology & Social Work,Associate Professor
NCA&T,38,9-Jan-19,Assistant Professor,70000,Chemistry,Associate Professor
NCA&T,61,11-Aug-05,Professor,118698,Management,Professor
NCA&T,49,4-Aug-07,Professor,88842,Natural Resources & Environ Design,Professor
NCA&T,38,4-Sep-19,Associate Professor,93500,Counseling,Associate Professor & Senior Researcher
NCA&T,50,16-Aug-19,Assistant Professor,86000,Computer Systems Technology,Assistant Professor
NCA&T,38,12-Aug-16,Assistant Professor,67600,Mathematics,Assistant Professor
NCA&T,75,14-Aug-92,Associate Professor,76183,Mathematics,Associate Professor
NCA&T,45,1-Oct-08,Associate Professor,75287,Animal Sciences,Associate Professor
NCA&T,47,12-May-17,Assistant Professor,65280,Educator Preparation,Assistant Professor 9/10
NCA&T,51,12-Aug-02,Associate Professor,73507,Human Perform & Leisure Studies,Associate Professor
NCA&T,42,10-Aug-18,Associate Professor,66000,Educator Preparation,Associate Professor
NCA&T,51,12-Aug-02,Associate Professor,66990,Counseling,Associate Professor
NCA&T,50,2-Jan-11,Associate Professor,69880,Sociology & Social Work,Associate Professor
NCA&T,46,16-Aug-06,Associate Professor,70251,Biology,Associate Professor
NCA&T,62,22-Jun-88,Associate Professor,100062,Journalism and Mass Comm,Associate Professor/Interim Associate Dean
NCA&T,49,9-Aug-04,Professor,102817,Counseling,Professor
NCA&T,62,1-Feb-84,Assistant Professor (Primary) and Department Chair/Head,93866,Journalism and Mass Comm,Associate Professor/ Interim Chair
NCA&T,33,11-Aug-17,Associate Professor,65280,Educator Preparation,Associate Professor
NCA&T,61,9-Jul-84,Associate Professor,124375,Marketing and Supply Chain Managmt,Associate Professor
NCA&T,42,12-Aug-16,Associate Professor,68920,Educator Preparation,Associate Professor
NCA&T,51,8-Aug-04,Associate Professor,72701,Family and Consumer Sciences,Associate Professor
NCA&T,43,11-Aug-17,Assistant Professor,66144,Counseling,Assistant Professor Clinical/Mental Health Counselor
NCA&T,52,16-Aug-99,Professor,70777,History and Political Science,Professor
NCA&T,43,11-Aug-10,Associate Professor,112756,Marketing and Supply Chain Managmt,Associate Professor
NCA&T,52,16-Aug-19,Associate Professor,86000,Sociology & Social Work,Associate Professor/Bachelor of Social Work Director
NCA&T,61,1-Jan-99,Professor,92685,Animal Sciences,Professor
NCA&T,51,15-Sep-09,Associate Professor,92470,Electrical & Computer Engineering,Associate Professor
NCA&T,48,11-Aug-03,Associate Professor,87096,Computer Science,Associate Professor
NCA&T,37,9-Jan-19,Assistant Professor,67000,Mathematics,Associate Professor
NCA&T,58,1-Jun-95,Professor,115820,Natural Resources & Environ Design,Research Professor
NCA&T,57,4-Jan-17,Assistant Professor,117206,Business Information Systems & Anal,Assistant Professor 9/10
NCA&T,51,9-Aug-04,Assistant Professor,41590,Visual and Performing Arts,Assistant Professor
NCA&T,62,15-Sep-03,Professor,102654,Agribusiness Econ Agriscience,Dir of Int Trade Ctr-Res Prof
NCA&T,42,11-Aug-10,Associate Professor,89326,Mechanical Engineering,Professor
NCA&T,68,14-Aug-92,Professor,112850,Computer Science,Professor
NCA&T,49,14-Aug-00,Professor (Primary) and Department Chair/Head,166500,Computer Science,Professor/Chair
NCA&T,45,1-Mar-10,Professor,97156,Chemical Biological & Bioengineerin,Professor
NCA&T,40,16-Aug-19,Assistant Professor,77500,JSNN: Nanoengineering,Faculty
NCA&T,58,4-Jan-10,Associate Professor,109775,Computer Systems Technology,Associate Professor/Interim Chair
NCA&T,53,11-Aug-10,Professor,79817,Physics,Professor
NCA&T,47,1-Jan-12,Associate Professor,86971,JSNN: Nanoengineering,Associate Professor
NCA&T,40,10-Aug-18,Associate Professor,60000,Journalism and Mass Comm,Associate Professor
NCA&T,47,16-Aug-19,Associate Professor,87000,Mathematics,Assistant Professor
NCA&T,64,13-Aug-01,Associate Professor,64780,History and Political Science,Associate Professor
NCA&T,37,10-Aug-18,Assistant Professor,84000,Industrial & Systems Engineering,Assistant Professor
NCA&T,45,1-Aug-18,Professor (Primary) and Department Chair/Head,145000,Applied Engineering Technology,Professor/Chair
NCCU,65,15-Aug-88,Associate Professor,68318,Mathematics & Physics,Associate Professor
NCCU,56,1-Feb-17,Assistant Professor,120000,School of Law Office,Clinical Assistant Professor
NCCU,64,1-Jan-09,Professor,139320,Chemistry & Biochemistry,Professor
NCCU,50,1-Jul-11,Associate Professor,100009,Mathematics & Physics,Associate Professor
NCCU,34,9-Aug-16,Assistant Professor,65280,Physical Ed and Recreation,Assistant Professor
NCCU,66,14-Aug-90,Professor,135983,Decision Science,Professor
NCCU,64,15-Nov-96,Professor,237672,Office of Academic Affairs,Associate Vice Chancellor Academic Affairs
NCCU,68,1-Jun-00,Associate Professor,83709,Biology & Biological Science,Associate Professor
NCCU,57,18-Aug-98,Professor,88045,Music,Professor
NCCU,55,6-Aug-18,Professor,49803,Physical Ed and Recreation,Professor
NCCU,47,1-Aug-06,Associate Professor,91607,Biology & Biological Science,Associate Professor
NCCU,57,1-Dec-05,Professor,83424,"Environ., Earth, & Geospatial Scien",Professor
NCCU,36,17-Aug-09,Assistant Professor,65000,Social Work,Assistant Professor
NCCU,64,1-Jul-13,Assistant Professor,64173,Music,Assistant Professor
NCCU,46,1-Jul-14,Assistant Professor,64380,Education,Assistant Professor
NCCU,61,8-Aug-07,Professor,71964,Language and Literature,Professor
NCCU,40,22-Aug-05,Assistant Professor,75480,Psychology,Assistant Professor
NCCU,43,1-Jul-16,Assistant Professor,64770,Criminal Justice,Assistant Professor
NCCU,41,17-Aug-20,Associate Professor,65000,College of Health & Sciences Admin.,Clinical Associate Professor
NCCU,58,1-Jul-13,Assistant Professor,64380,Speech & Hearing,Clinical Assistant Professor
NCCU,41,15-Aug-06,Assistant Professor,67000,Education,Assistant Professor
NCCU,44,12-Aug-19,Assistant Professor,68000,Theatre & Dance,Assistant Professor
NCCU,32,17-Aug-20,Professor,63000,Criminal Justice,Professor
NCCU,58,1-Jan-15,Assistant Professor,96527,Business Administration,Assistant Professor
NCCU,56,1-Apr-05,Professor,82931,Mathematics & Physics,Professor
NCCU,73,1-Sep-81,Professor,115899,School of Lib/Info Science,Professor
NCCU,38,20-May-13,Assistant Professor,62220,Mathematics & Physics,Assistant Professor
NCCU,48,9-Aug-06,Associate Professor,74625,Psychology,Associate Professor
NCCU,65,15-Aug-94,Associate Professor,80337,Education,Associate Professor
NCCU,44,2-Jan-08,Assistant Professor,80000,School of Law Office,Professor
NCCU,71,11-Aug-05,Assistant Professor,80000,Nursing,Assistant Professor
NCCU,51,1-Jul-15,Associate Professor (Primary) and Department Chair/Head,84783,Criminal Justice,Associate Professor
NCCU,76,12-Aug-77,Professor,124981,Hospitality & Tourism,Professor
NCCU,43,7-Aug-17,Assistant Professor,74460,Psychology,Assistant Professor
NCCU,43,1-Jul-17,Professor (Primary) and Department Chair/Head,81600,Music,Professor
NCCU,72,1-Sep-85,Professor,52663.5,Decision Science,Professor
NCCU,60,12-Aug-02,Associate Professor,71526,Language and Literature,Associate Professor
NCCU,51,1-Jul-20,Assistant Professor,81000,Nursing,Clinical Assistant Profesor
NCCU,78,1-Sep-85,Associate Professor,35034,Language and Literature,Associate Professor
NCCU,66,7-Jan-05,Associate Professor,90297,Psychology,Associate Professor
NCCU,44,12-Aug-19,Assistant Professor,85000,School of Lib/Info Science,Assistant Professor
NCCU,55,1-Jul-20,Professor (Primary) and Department Chair/Head,143000,School of Business,Professor
NCCU,51,1-Jul-05,Professor,117533,Biology & Biological Science,Professor
NCCU,46,1-Jul-16,Assistant Professor,72420,Chemistry & Biochemistry,Assistant Professor
NCCU,43,8-Aug-07,Professor,114649,School of Law Office,Professor
NCCU,77,1-Jan-83,Professor,87181,Psychology,Professor
NCCU,50,15-Aug-11,Associate Professor,71711,History,Associate Professor
NCCU,64,18-Jul-05,Professor,141284,Biology & Biological Science,Professor
NCCU,50,2-Jan-08,Professor,67177,Language and Literature,Professor
NCCU,68,18-Aug-14,Professor,103515,Political Science,Associate Professor
NCCU,54,12-Aug-02,Associate Professor,114920,School of Law Office,Associate Professor
NCCU,37,6-Aug-18,Assistant Professor,72000,Biology & Biological Science,Assistant Professor
NCCU,62,11-Aug-05,Assistant Professor (Primary) and Department Chair/Head,98320,Social Work,Assistant Professor
NCCU,56,16-Aug-96,Associate Professor,73295,Mathematics & Physics,Associate Professor
NCCU,54,11-Aug-05,Associate Professor,88751,Psychology,Associate Professor
NCCU,69,2-Jan-96,Assistant Professor,39570,"College of Arts, Soci Scie and Huma",Assistant Professor
NCCU,50,6-Aug-08,Associate Professor,68308,Education,Associate Professor
NCCU,45,9-Aug-06,Professor,102087,School of Law Office,Professor
NCCU,52,2-Jan-04,Assistant Professor,73911,Criminal Justice,Assistant Professor
NCCU,54,11-Aug-05,Associate Professor,119694,School of Law Office,Associate Professor
NCCU,36,1-Aug-19,Assistant Professor,108500,School of Business,Assistant Professor
NCCU,40,1-Jul-14,Associate Professor,80785,School of Law Office,Assistant Professor
NCCU,73,14-Aug-90,Professor,86620,Art & Design,Professor
NCCU,69,12-Aug-98,Associate Professor,76435,Mass Communications,Assistant Professor
NCCU,38,10-Oct-17,Assistant Professor,102000,Decision Science,Assistant Professor
NCCU,64,10-Aug-09,Assistant Professor,72420,Nursing,Assistant Professor
NCCU,39,1-Aug-18,Assistant Professor,73000,Public Administration,Asst. Professor
NCCU,64,1-Jul-07,Associate Professor,79600,Pharmaceutical Science Dept,Core Facility Manager-Tech
NCCU,60,15-Aug-07,Associate Professor,58854,Pharmaceutical Science Dept,Associate Professor
NCCU,47,1-Jul-11,Associate Professor,69827,Physical Ed and Recreation,Assistant Professor
NCCU,30,14-Aug-17,Assistant Professor,69000,Education,Assistant Professor
NCCU,64,14-Aug-95,Associate Professor,73818,Physical Ed and Recreation,Associate Professor
NCCU,50,11-Aug-03,Associate Professor,85244,Curriculum Instruction,Assistant Professor
NCCU,65,1-Sep-80,Assistant Professor (Primary) and Department Chair/Head,96332,Psychology,Assistant Professor
NCCU,48,11-Aug-05,Assistant Professor (Primary) and Department Chair/Head,71600,Human Sciences,Assistant Professor
NCCU,52,1-Aug-13,Associate Professor,113578,School of Law Office,Associate Professor
NCCU,48,17-Aug-20,Assistant Professor,79000,Nursing,Assistant Professor
NCCU,46,6-Aug-18,Associate Professor,81000,Communications Disorders,Associate Professor
NCCU,44,17-Aug-20,Assistant Professor,70000,Nursing,Assistant Professor
NCCU,43,15-Aug-11,Associate Professor,93971,Biology & Biological Science,Professor
NCCU,67,14-Aug-89,Associate Professor,32521,Art & Design,Associate Professor
NCCU,45,6-Aug-18,Assistant Professor,60000,Language and Literature,Associate Professor
NCCU,64,9-Aug-06,Associate Professor,82015,Public Health Education,Associate Professor
NCCU,65,11-Aug-99,Professor,111963,School of Law Office,Professor
NCCU,50,14-Aug-12,Assistant Professor,60746,History,Professor
NCCU,43,9-Aug-10,Associate Professor,63879,Language and Literature,Professor
NCCU,55,10-Aug-09,Associate Professor,65055,Language and Literature,Professor
NCCU,41,1-Jul-12,Assistant Professor,66244,Criminal Justice,Assistant Professor
NCCU,35,1-Jul-16,Assistant Professor,65790,"Environ., Earth, & Geospatial Scien",Assistant Professor
NCCU,53,1-Sep-03,Associate Professor,80945,Chemistry & Biochemistry,Professor
NCCU,65,1-Jul-91,Professor,82503,History,Associate Professor
NCCU,57,1-Jul-11,Professor,155559,School of Law Office,Professor
NCCU,37,13-Aug-13,Assistant Professor,68173,Human Sciences,Professor
NCCU,50,2-Jan-08,Associate Professor,60374,Language and Literature,Assistant Professor
NCCU,68,15-Aug-88,Associate Professor,46333.5,Psychology,Associate Professor
NCCU,48,8-Aug-07,Associate Professor,96399.85,School of Law Office,Professor
NCCU,69,9-Jan-20,Assistant Professor,80000,Nursing,Assistant Professor
NCCU,37,21-May-08,Assistant Professor,85000,School of Lib/Info Science,Assistant Professor
NCCU,60,1-Jan-01,Professor,99214,Biology & Biological Science,Associate Professor
NCCU,64,8-Aug-07,Associate Professor (Primary) and Department Chair/Head,113046,Computer Information Systems,Assistant Professor
NCCU,66,6-Aug-08,Associate Professor,77286,Criminal Justice,Assistant Professor
NCCU,42,15-Aug-08,Assistant Professor,69350,Social Work,Professor
NCCU,57,13-Aug-99,Professor,135165,School of Law Office,Professor
NCCU,47,15-Aug-03,Associate Professor,73914,Biology & Biological Science,Assistant Professor
NCCU,56,8-Aug-07,Associate Professor,108155,Business Administration,Assistant Professor
NCCU,51,2-Jan-08,Associate Professor,68025,Physical Ed and Recreation,Professor
NCCU,70,12-Aug-97,Professor,84520,Public Administration,Professor
NCCU,43,3-Jan-07,Assistant Professor,87500,School of Law Office,Supervising Attorney
NCCU,56,1-Aug-14,Professor (Primary) and Department Chair/Head,77632,Mass Communications,Professor/Chair
NCCU,64,14-Aug-95,Associate Professor,105407,Political Science,Associate Professor
NCCU,58,6-Aug-18,Associate Professor,81000,Education,Associate Professor
NCCU,59,17-Aug-05,Assistant Professor,64365,Music,Assistant Professor
NCCU,48,1-Aug-02,Professor,95362,Speech & Hearing,Associate Professor
NCCU,77,1-Sep-80,Associate Professor,87197,Mathematics & Physics,Associate Professor
NCCU,49,8-Aug-07,Associate Professor,102328,School of Law Office,Assistant Professor
NCCU,54,15-Aug-94,Assistant Professor (Primary) and Department Chair/Head,77241,History,Assistant Professor
NCCU,62,11-Aug-05,Professor,67737,School of Law Office,Assistant Professor
NCCU,45,9-Jan-17,Associate Professor,66300,Art & Design,Associate Professor
NCCU,65,12-Aug-02,Assistant Professor,120112,Business Administration,Assistant Dean for Career Management and Student Professional Development
NCCU,38,12-Aug-19,Assistant Professor,67000,Education,Assistant Professor
NCCU,71,17-Aug-20,Professor,68000,Education,Assistant Professor
NCCU,60,14-Aug-96,Associate Professor,67693,Music,Assistant Professor
NCCU,52,2-Jan-02,Associate Professor,83649,Biology & Biological Science,Assistant Professor
NCCU,49,1-Jul-13,Associate Professor,102357,School of Law Office,Assistant Professor
NCCU,55,15-Aug-16,Assistant Professor,66300,Social Work,Professor
NCCU,59,1-Jan-15,Assistant Professor,64380,Counselor Education,Professor
NCCU,52,8-Aug-07,Associate Professor (Primary) and Department Chair/Head,69911,Theatre & Dance,Professor
NCCU,63,15-Sep-01,Assistant Professor,60032,Art & Design,Professor
NCCU,60,10-Aug-09,Assistant Professor,60485,Music,Professor
NCCU,32,7-Aug-17,Assistant Professor,58140,Art & Design,Lecturer
NCCU,34,12-Aug-19,Assistant Professor,63000,Criminal Justice,Assistant Professor
NCCU,63,13-Feb-06,Associate Professor,140280,Pharmaceutical Science Dept,Associate Professor
NCCU,41,17-Aug-20,Associate Professor,65000,Education,Clinical Assistant / Associate Professor
NCCU,65,13-Aug-01,Professor (Primary) and Department Chair/Head,144416,Accounting,Professor
NCCU,64,14-Aug-92,Professor,134574,Mathematics & Physics,Assistant Professor
NCCU,44,16-Aug-04,Professor,78266,Language and Literature,Assistant Professor
NCCU,32,1-Jul-20,Assistant Professor,125000,School of Business,Assistant/Associate Professor
NCCU,55,1-Jul-15,Assistant Professor,60705,History,Instructor
NCCU,61,3-Jan-94,Assistant Professor (Primary) and Department Chair/Head,63534,Mathematics & Physics,Assistant Professor
NCCU,43,9-Aug-16,Assistant Professor,68340,Mathematics & Physics,Associate Professor
NCCU,41,16-Feb-15,Assistant Professor,79000,Communications Disorders,Assistant Professor
NCCU,35,29-Aug-19,Assistant Professor,85000,School of Lib/Info Science,Assistant Professor
NCCU,76,18-Aug-82,Professor,148879,School of Law Office,Professor
NCCU,52,1-Jul-15,Associate Professor,79420,Physical Ed and Recreation,Associate Professor
NCCU,42,13-Aug-13,Assistant Professor,75000,School of Law Office,Assistant Professor
NCCU,46,1-Jul-15,Assistant Professor,94197,Computer Information Systems,Associate Professor
NCCU,51,15-Aug-11,Associate Professor,78000,Communications Disorders,Associate Professor
NCCU,53,11-Aug-05,Associate Professor,73583,Biology & Biological Science,Assistant Professor
NCCU,55,13-Aug-13,Assistant Professor,91985,Hospitality & Tourism,Associate Professor
NCCU,68,1-Jul-91,Professor,86499,Public Administration,Professor
NCCU,55,12-Jul-10,Associate Professor,119186,Biology & Biological Science,Associate Professor
NCCU,29,6-Aug-18,Assistant Professor,62000,Counselor Education,Associate Professor
NCCU,44,6-Aug-08,Assistant Professor,42929,Language and Literature,Professor
NCCU,46,17-Aug-20,Associate Professor,68000,Education,Associate Professor
NCCU,49,3-Jan-05,Assistant Professor,62282,Education,Assistant Professor
NCCU,73,13-Aug-99,Professor,73981,Language and Literature,Associate Professor
NCCU,58,1-Jul-97,Associate Professor,75313,Mathematics & Physics,Assistant Professor
NCCU,69,16-Aug-93,Associate Professor,70852,Biology & Biological Science,Assistant Professor
NCCU,48,11-Aug-05,Associate Professor,125113,Accounting,Assistant Professor
NCCU,63,1-Aug-06,Associate Professor,73995,Political Science,Associate Professor
NCCU,42,1-Jul-11,Associate Professor,100177,Business Administration,Assistant Professor
NCCU,59,1-Dec-96,Professor,109555,School of Law Office,Assistant Professor
NCCU,39,12-Aug-19,Assistant Professor,65000,Physical Ed and Recreation,Assistant Professor
NCCU,51,16-Jul-05,Associate Professor,85249,Biology & Biological Science,Professor
NCCU,65,1-Jan-12,Professor,128362,Education,Assistant Professor
NCCU,55,2-Jun-08,Associate Professor,94217,Biology & Biological Science,Assistant Professor/Researcher
NCCU,61,1-Oct-07,Professor,138994,Pharmaceutical Science Dept,Associate Professor
NCCU,42,17-Aug-09,Assistant Professor,65873,Physical Ed and Recreation,Assistant Professor
NCCU,69,29-Jul-74,Associate Professor,87842,History,Associate Professor
NCCU,51,11-Aug-05,Professor,97548,Psychology,Professor
NCCU,41,1-Feb-19,Assistant Professor,90000,BRITE,Associate Professor
NCCU,50,8-Dec-08,Associate Professor,101343,Pharmaceutical Science Dept,Associate Professor
NCCU,39,1-Sep-18,Assistant Professor,67000,Education,Associate Professor
NCCU,37,24-Aug-20,Assistant Professor,66500,Criminal Justice,Assistant Professor
NCCU,51,30-Sep-05,Associate Professor,76398,"Environ., Earth, & Geospatial Scien",Associate Professor
NCCU,52,8-Aug-07,Associate Professor,96348,Computer Information Systems,Assistant Professor
NCCU,58,16-Aug-04,Professor,82983,Mathematics & Physics,Professor
NCCU,35,12-Aug-19,Assistant Professor,75000,Biology & Biological Science,Assistant Professor
NCCU,43,13-Aug-13,Assistant Professor,70762,"Environ., Earth, & Geospatial Scien",Assistant Professor
NCCU,65,8-Aug-07,Associate Professor,65483,Mass Communications,Assistant Professor
NCCU,56,1-Jul-14,Assistant Professor,63634,Education,Assistant Professor
NCCU,68,14-May-88,Professor,115250,Criminal Justice,Professor
NCCU,66,16-Aug-04,Professor,89146,Mathematics & Physics,Professor
NCCU,58,1-Jul-15,Associate Professor (Primary) and Department Chair/Head,125256,Business Administration,Assistant Professor
NCCU,50,3-Jan-07,Associate Professor,72068,Mathematics & Physics,Instructor
NCCU,59,1-Aug-07,Associate Professor,68603,Speech & Hearing,Assistant Professor
NCCU,41,1-Jul-15,Assistant Professor,78787,Education,Assistant Professor
NCCU,77,16-Aug-87,Professor,124643,Accounting,Professor
NCCU,57,14-Mar-11,Professor,117492,Chemistry & Biochemistry,Professor
NCCU,57,6-Aug-08,Professor,133757,School of Law Office,Associate Professor
NCCU,54,20-Aug-03,Associate Professor,78231,Decision Science,Assistant Professor
NCCU,48,9-Aug-06,Associate Professor,65657,History,Assistant Professor
NCCU,55,1-Jul-01,Associate Professor,100847,Chemistry & Biochemistry,Associate Professor
NCCU,48,9-Aug-10,Associate Professor,71631,"Environ., Earth, & Geospatial Scien",Associate Professor
NCCU,70,25-Jun-90,Professor,92324,Curriculum Instruction,Professor
NCCU,52,7-Jan-02,Associate Professor,109901,School of Law Office,Assistant Professor
NCCU,50,8-Aug-07,Associate Professor,66548,History,Professor
NCCU,54,13-Aug-01,Professor,99363,Decision Science,Professor
NCCU,68,15-Aug-94,Professor (Primary) and Department Chair/Head,99634,Biology & Biological Science,Professor
NCCU,64,14-Aug-96,Professor,76047,Language and Literature,Professor
NCCU,73,15-Aug-94,Professor,48899,Human Sciences,Professor
NCCU,50,1-Dec-06,Assistant Professor,79600,Pharmaceutical Science Dept,Laboratory Instructor
NCCU,42,6-Jan-14,Assistant Professor,78668,Pharmaceutical Science Dept,Core Facility Manager-Imaging
NCCU,57,17-Aug-00,Professor (Primary) and Department Chair/Head,111111,Political Science,Professor
NCCU,53,18-Jan-93,Professor,79855,Curriculum Instruction,Associate Professor
NCCU,62,14-Aug-89,Professor,70422,Human Sciences,Assistant Professor
NCCU,46,12-Aug-14,Assistant Professor,67279,Physical Ed and Recreation,Associate Professor
NCCU,39,7-Aug-17,Assistant Professor,127500,Decision Science,Assistant Professor
NCCU,38,1-Jul-16,Assistant Professor,74460,Public Administration,Associate Professor
NCCU,52,9-Aug-06,Associate Professor,60286,Mass Communications,Assistant Professor
NCCU,70,9-Aug-06,Associate Professor,76191,Language and Literature,Professor
NCCU,36,6-Aug-18,Assistant Professor,60000,Mass Communications,Assistant Professor
NCCU,47,8-Aug-07,Associate Professor,80077,School of Lib/Info Science Office,Assistant Professor
NCCU,51,1-Jul-14,Assistant Professor,63325,Curriculum Instruction,Assistant Professor
NCCU,53,15-Nov-04,Associate Professor,67136,Speech & Hearing,Director Teaching Fellows
NCCU,44,1-Jul-14,Assistant Professor,66440,Human Sciences,Assistant Professor
NCCU,50,6-Aug-08,Associate Professor (Primary) and Department Chair/Head,59642,Language and Literature,Professor
NCCU,69,10-Aug-09,Associate Professor,142357,School of Law Office,Assistant Professor
NCCU,62,10-Aug-09,Associate Professor,67626,Theatre & Dance,Associate Professor
NCCU,70,15-Aug-94,Professor,95866,Public Health Education,Associate Professor
NCCU,47,1-Jul-17,Assistant Professor,65433,Education,Assistant Professor
NCCU,61,1-Jun-04,Professor,150576,Biology & Biological Science,Professor
NCCU,46,11-Aug-05,Assistant Professor (Primary) and Department Chair/Head,97084,Public Health Education,Assistant Professor
NCCU,56,9-Jan-17,Assistant Professor,68000,Nursing,Assistant Professor
NCCU,50,9-Aug-10,Assistant Professor,53820,Mass Communications,Associate Professor
NCCU,49,1-Jul-15,Assistant Professor,65727,Criminal Justice,Assistant Professor
NCCU,61,16-Aug-04,Professor,75902,Language and Literature,Assistant Professor
NCCU,63,4-Jan-99,Associate Professor,73491,Public Health Education,Associate Professor
NCCU,63,9-Aug-06,Associate Professor,97198,Computer Information Systems,Assistant Professor
NCCU,51,5-Aug-19,Professor (Primary) and Department Chair/Head,95000,Physical Ed and Recreation,Professor
NCCU,57,1-Aug-13,Assistant Professor,78413,School of Lib/Info Science Office,Professor
NCCU,49,4-Jan-99,Assistant Professor (Primary) and Department Chair/Head,84204,Education,Assistant Professor
NCCU,59,16-Mar-09,Professor,61200,Biology & Biological Science,Associate Professor
NCCU,74,1-Sep-84,Professor (Primary) and Department Chair/Head,142010,Decision Science,Professor
NCCU,71,1-Sep-76,Associate Professor,48309,Curriculum Instruction,Professor
NCCU,64,23-Feb-98,Professor,100996,Speech & Hearing,Professor
NCCU,57,4-Jan-06,Associate Professor,134350,Pharmaceutical Science Dept,Associate Professor
NCCU,49,1-Apr-14,Assistant Professor,63345,Education,Professor
NCCU,60,1-Jul-97,Associate Professor,72551,Education,Assistant Professor
NCCU,57,17-Aug-92,Professor,95192,Chemistry & Biochemistry,Professor
NCCU,46,8-Aug-07,Associate Professor,97252,Computer Information Systems,Assistant Professor
NCCU,52,6-Aug-08,Associate Professor,103177,Business Administration,Assistant Professor
NCCU,49,3-Jan-11,Associate Professor,68602,Curriculum Instruction,Assistant Professor
NCCU,63,9-Aug-06,Professor,114903,School of Business,Assistant Professor
NCCU,64,15-Oct-01,Associate Professor,77835,Music,Associate Professor
NCCU,34,9-Aug-10,Assistant Professor,38291,Language and Literature,Assistant Professor
NCCU,41,1-Jul-13,Assistant Professor,72315,Biology & Biological Science,Associate Professor
NCCU,39,1-Oct-07,Assistant Professor,68173,Human Sciences,Associate Professor
NCCU,68,1-Sep-06,Assistant Professor,75666,Nursing,Assistant Professor
NCCU,53,1-Jul-16,Professor,103020,Psychology,Associate Professor
NCCU,51,8-Aug-07,Associate Professor,78277,Political Science,Assistant Professor
NCCU,58,14-Aug-95,Professor,82902,Physical Ed and Recreation,Associate Professor
NCCU,57,15-Aug-94,Associate Professor,77314,Decision Science,Associate Professor
NCCU,70,12-Aug-02,Associate Professor,74567,School of Lib/Info Science Office,Professor
NCCU,54,1-Sep-06,Assistant Professor,68315,Mathematics & Physics,Professor
NCCU,53,11-Aug-05,Professor,99475,Chemistry & Biochemistry,Assoc Prof/Associate Dean
NCCU,38,1-Jul-10,Assistant Professor,61200,Psychology,Professor
